Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
Fica até mais lindo ainda sem camisa!😍🤩,Fica até mais lindo ainda sem camisa!:smiling_face_with_heart-eyes::star-struck:,fica até mais lindo ainda sem camisasmiling_face_with_hearteyesstarstruck,"['fica', 'até', 'mais', 'lindo', 'ainda', 'sem', 'camisasmiling_face_with_hearteyesstarstruck']","['fica', 'lindo', 'ainda', 'camisasmiling_face_with_hearteyesstarstruck']","['fic', 'lind', 'aind', 'camisasmiling_face_with_hearteyesstarstruck']",fic lind aind camisasmiling_face_with_hearteyesstarstruck
Ficou muito bom Serginho 😍👏👏❤️,Ficou muito bom Serginho :smiling_face_with_heart-eyes::clapping_hands::clapping_hands::red_heart:,ficou muito bom serginho smiling_face_with_hearteyesclapping_handsclapping_handsred_heart,"['ficou', 'muito', 'bom', 'serginho', 'smiling_face_with_hearteyesclapping_handsclapping_handsred_heart']","['ficou', 'bom', 'serginho', 'smiling_face_with_hearteyesclapping_handsclapping_handsred_heart']","['fic', 'bom', 'serg', 'smiling_face_with_hearteyesclapping_handsclapping_handsred_heart']",fic bom serg smiling_face_with_hearteyesclapping_handsclapping_handsred_heart
"Ai, morenao... S2","Ai, morenao... S2",ai morenao,"['ai', 'morenao']","['ai', 'morenao']","['ai', 'morena']",ai morena
👏👏👏👏👏👏👏👏 É o melhor banco do Brasil,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands: É o melhor banco do Brasil,clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands melhor banco brasil,"['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands', 'melhor', 'banco', 'brasil']","['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands', 'melhor', 'banco', 'brasil']","['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand', 'melhor', 'banc', 'brasil']",clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand melhor banc brasil
@sergiomarone,@sergiomarone,sergiomarone,['sergiomarone'],['sergiomarone'],['sergiomaron'],sergiomaron
@sergiomarone 🙌🙌,@sergiomarone :raising_hands::raising_hands:,sergiomarone raising_handsraising_hands,"['sergiomarone', 'raising_handsraising_hands']","['sergiomarone', 'raising_handsraising_hands']","['sergiomaron', 'raising_handsraising_hand']",sergiomaron raising_handsraising_hand
👏👏👏👏👏,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_handsclapping_handsclapping_hand
👏👏👏👏👏👏,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand
@sergiomarone muitooo 💛,@sergiomarone muitooo :yellow_heart:,sergiomarone muitooo yellow_heart,"['sergiomarone', 'muitooo', 'yellow_heart']","['sergiomarone', 'muitooo', 'yellow_heart']","['sergiomaron', 'muitoo', 'yellow_heart']",sergiomaron muitoo yellow_heart
"👏👏👏👏👏👏 maravilha demais , @gotinhasdeamoreduca  parabenizar",":clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands: maravilha demais , @gotinhasdeamoreduca  parabenizar",clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands maravilha demais gotinhasdeamoreduca parabenizar,"['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands', 'maravilha', 'demais', 'gotinhasdeamoreduca', 'parabenizar']","['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands', 'maravilha', 'demais', 'gotinhasdeamoreduca', 'parabenizar']","['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand', 'maravilh', 'demal', 'gotinhasdeamoreduc', 'paraben']",clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand maravilh demal gotinhasdeamoreduc paraben
👏👏👏👏👏,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_handsclapping_handsclapping_hand
👏👏👏👏,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_handsclapping_hand
👏👏😍,:clapping_hands::clapping_hands::smiling_face_with_heart-eyes:,clapping_handsclapping_handssmiling_face_with_hearteyes,['clapping_handsclapping_handssmiling_face_with_hearteyes'],['clapping_handsclapping_handssmiling_face_with_hearteyes'],['clapping_handsclapping_handssmiling_face_with_heartey'],clapping_handsclapping_handssmiling_face_with_heartey
